OBJECTID,Site_Description,Date_Sample_Collected,Test_Name,Species_Group,Result_Name,Result_Value_String,Result_Value_Numeric,Units,Result_Label
5209,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Identification,,Planktolyngbya,,436000000,cells/L,"436,000,000 cells/L"
5210,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Identification,,Planctonema,,15900000,cells/L,"15,900,000 cells/L"
5211,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Identification,,Nodularia spumigena,,44000,cells/L,"44,000 cells/L"
5212,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Identification,,Aulacoseira,,18000,cells/L,"18,000 cells/L"
5213,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Identification,,Chodatella_(Lagerheimia),,450000,cells/L,"450,000 cells/L"
5214,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Identification,,Chlorella,,500000,cells/L,"500,000 cells/L"
5215,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Identification,,Nitzschia,,175000,cells/L,"175,000 cells/L"
5216,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Identification,,Monoraphidium,,750000,cells/L,"750,000 cells/L"
5217,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Identification,,Staurosira,,1300000,cells/L,"1,300,000 cells/L"
5218,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Identification,,Pediastrum,,300000,cells/L,"300,000 cells/L"
5219,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Identification,,Scenedesmus,,750000,cells/L,"750,000 cells/L"
5220,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Identification,,Oocystis,,600000,cells/L,"600,000 cells/L"
5221,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Identification,,Tetrastrum,,1600000,cells/L,"1,600,000 cells/L"
5222,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Identification,,Cyanocatena,,38200000,cells/L,"38,200,000 cells/L"
5223,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Identification,,Aphanocapsa,,21800000,cells/L,"21,800,000 cells/L"
5224,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Identification,,Cyanodictyon,,14200000,cells/L,"14,200,000 cells/L"
5225,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Identification,,Cyanogranis,,55500000,cells/L,"55,500,000 cells/L"
5226,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Identification,,Other Organisms,,2020000,cells/L,"2,020,000 cells/L"
5227,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Biovolume,,Algal Biovolume Notes,Biovolumes for taxa reported at genus level are approximate values. Reported taxa and calculated biovolume includes only those with taxon cell volume and associated cell count data. Biovolume totals have specific criteria around how they calculate.,,,Biovolumes for taxa reported at genus level are approximate values. Reported taxa and calculated biovolume includes only those with taxon cell volume and associated cell count data. Biovolume totals have specific criteria around how they calculate.
5228,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Biovolume,,Planktolyngbya,,2.18,mm3/L,2.18 mm3/L
5229,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Biovolume,,Nodularia spumigena,<0.01,,mm3/L,<0.01 mm3/L
5230,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Biovolume,,Aulacoseira,,0.05,mm3/L,0.05 mm3/L
5231,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Biovolume,,Chlorella,,0.02,mm3/L,0.02 mm3/L
5232,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Biovolume,,Nitzschia,,0.24,mm3/L,0.24 mm3/L
5233,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Biovolume,,Monoraphidium,,0.68,mm3/L,0.68 mm3/L
5234,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Biovolume,,Staurosira,,0.24,mm3/L,0.24 mm3/L
5235,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Biovolume,,Pediastrum,,0.36,mm3/L,0.36 mm3/L
5236,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Biovolume,,Scenedesmus,,0.19,mm3/L,0.19 mm3/L
5237,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Biovolume,,Oocystis,,0.18,mm3/L,0.18 mm3/L
5238,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Biovolume,,Cyanocatena,<0.01,,mm3/L,<0.01 mm3/L
5239,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Biovolume,,Aphanocapsa,,0.01,mm3/L,0.01 mm3/L
5240,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Biovolume,,Cyanodictyon,<0.01,,mm3/L,<0.01 mm3/L
5241,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Biovolume,,Cyanogranis,,0.03,mm3/L,0.03 mm3/L
5242,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Biovolume,,Cylindrospermopsis raciborskii,,0.03,mm3/L,0.03 mm3/L
5243,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Biovolume,,Aphanizomenon,,0.51,mm3/L,0.51 mm3/L
5244,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Biovolume,,Crucigenia,,0.07,mm3/L,0.07 mm3/L
5245,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Biovolume,,Merismopedia,,0.01,mm3/L,0.01 mm3/L
5246,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Biovolume,,Total Algae Biovolume,Not Calculated,,mm3/L,Not Calculated
5247,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Biovolume,,Total Blue_Green Algae Biovolume,,2.77,mm3/L,2.77 mm3/L
5248,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Biovolume,,Total Diatom Biovolume,,0.53,mm3/L,0.53 mm3/L
5249,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Biovolume,,Total Green Algae Biovolume,Not Calculated,,mm3/L,Not Calculated
5250,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Biovolume,,Total Toxic BGA Biovolume,,0.03,mm3/L,0.03 mm3/L
5251,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Count - Total,,Algae - Total,,627000000,cells/L,"627,000,000 cells/L"
5252,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Count - Total,,Blue Green Algae - Total,,603000000,cells/L,"603,000,000 cells/L"
5253,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Count - Total,,Diatoms - Total,,1490000,cells/L,"1,490,000 cells/L"
5254,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Count - Total,,Geosmin-MIB producing BGA - Total,,0,cells/L,0 cells/L
5255,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Count - Total,,Green Algae - Total,,23000000,cells/L,"23,000,000 cells/L"
5256,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Count - Total,,Toxin producing BGA - Total,,743000,cells/L,"743,000 cells/L"
5257,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Identification,,Cylindrospermopsis raciborskii,,699000,cells/L,"699,000 cells/L"
5258,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Identification,,Aphanizomenon,,10500000,cells/L,"10,500,000 cells/L"
5259,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Identification,,Crucigenia,,2200000,cells/L,"2,200,000 cells/L"
5260,Lake Alexandrina at 4km West Pomanda Point,2025-06-26,Algal Identification,,Merismopedia,,25600000,cells/L,"25,600,000 cells/L"
5261,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Identification,,Planctonema,,11200000,cells/L,"11,200,000 cells/L"
5262,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Identification,,Aphanizomenon,,2600000,cells/L,"2,600,000 cells/L"
5263,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Identification,,Cuspidothrix,,815000,cells/L,"815,000 cells/L"
5264,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Identification,,Elakatothrix,,110000,cells/L,"110,000 cells/L"
5265,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Identification,,Pseudanabaena,,138000,cells/L,"138,000 cells/L"
5266,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Identification,,Phormidium,,64000,cells/L,"64,000 cells/L"
5267,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Identification,,Cyanogranis,,27000000,cells/L,"27,000,000 cells/L"
5268,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Identification,,Cylindrospermopsis raciborskii,,250000,cells/L,"250,000 cells/L"
5269,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Identification,,Monoraphidium sp_2_(short),,110000,cells/L,"110,000 cells/L"
5270,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Identification,,Monoraphidium,,1250000,cells/L,"1,250,000 cells/L"
5271,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Identification,,Dictyosphaerium,,300000,cells/L,"300,000 cells/L"
5272,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Identification,,Crucigenia,,12800000,cells/L,"12,800,000 cells/L"
5273,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Identification,,Dictyosphaerium sp_2_(small_cells),,170000,cells/L,"170,000 cells/L"
5274,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Identification,,Scenedesmus,,5300000,cells/L,"5,300,000 cells/L"
5275,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Identification,,Ankistrodesmus,,120000,cells/L,"120,000 cells/L"
5276,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Identification,,Nitzschia,,650000,cells/L,"650,000 cells/L"
5277,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Identification,,Cyanodictyon,,4400000,cells/L,"4,400,000 cells/L"
5278,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Identification,,Oocystis sp_1_(small_cells),,2850000,cells/L,"2,850,000 cells/L"
5279,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Identification,,Colonial green algae small_spp,,2820000,cells/L,"2,820,000 cells/L"
5280,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Identification,,Kirchneriella,,2520000,cells/L,"2,520,000 cells/L"
5281,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Identification,,Fragilaria,,230000,cells/L,"230,000 cells/L"
5282,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Identification,,Pediastrum,,860000,cells/L,"860,000 cells/L"
5283,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Identification,,Tetrastrum,,1310000,cells/L,"1,310,000 cells/L"
5284,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Identification,,Staurosira,,700000,cells/L,"700,000 cells/L"
5285,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Identification,,Planktolyngbya,,95800000,cells/L,"95,800,000 cells/L"
5286,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Identification,,Other Organisms,,3150000,cells/L,"3,150,000 cells/L"
5287,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Biovolume,,Algal Biovolume Notes,Biovolumes for taxa reported at genus level are approximate values. Reported taxa and calculated biovolume includes only those with taxon cell volume and associated cell count data. Biovolume totals have specific criteria around how they calculate.,,,Biovolumes for taxa reported at genus level are approximate values. Reported taxa and calculated biovolume includes only those with taxon cell volume and associated cell count data. Biovolume totals have specific criteria around how they calculate.
5288,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Biovolume,,Romeria,,1.11,mm3/L,1.11 mm3/L
5289,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Biovolume,,Aphanizomenon,,0.13,mm3/L,0.13 mm3/L
5290,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Biovolume,,Cuspidothrix,,0.05,mm3/L,0.05 mm3/L
5291,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Biovolume,,Elakatothrix,<0.01,,mm3/L,<0.01 mm3/L
5292,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Biovolume,,Pseudanabaena,<0.01,,mm3/L,<0.01 mm3/L
5293,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Biovolume,,Phormidium,<0.01,,mm3/L,<0.01 mm3/L
5294,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Biovolume,,Cyanogranis,,0.01,mm3/L,0.01 mm3/L
5295,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Biovolume,,Cylindrospermopsis raciborskii,,0.01,mm3/L,0.01 mm3/L
5296,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Biovolume,,Monoraphidium sp_2_(short),<0.01,,mm3/L,<0.01 mm3/L
5297,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Biovolume,,Monoraphidium,,1.12,mm3/L,1.12 mm3/L
5298,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Biovolume,,Dictyosphaerium,<0.01,,mm3/L,<0.01 mm3/L
5299,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Biovolume,,Crucigenia,,0.38,mm3/L,0.38 mm3/L
5300,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Biovolume,,Scenedesmus,,1.32,mm3/L,1.32 mm3/L
5301,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Biovolume,,Ankistrodesmus,,0.02,mm3/L,0.02 mm3/L
5302,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Biovolume,,Nitzschia,,0.9,mm3/L,0.9 mm3/L
5303,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Biovolume,,Cyanodictyon,<0.01,,mm3/L,<0.01 mm3/L
5304,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Biovolume,,Oocystis sp_1_(small_cells),,0.49,mm3/L,0.49 mm3/L
5305,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Biovolume,,Kirchneriella,,0.06,mm3/L,0.06 mm3/L
5306,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Biovolume,,Fragilaria,,0.15,mm3/L,0.15 mm3/L
5307,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Biovolume,,Pediastrum,,1.03,mm3/L,1.03 mm3/L
5308,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Biovolume,,Staurosira,,0.13,mm3/L,0.13 mm3/L
5309,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Biovolume,,Planktolyngbya,,0.48,mm3/L,0.48 mm3/L
5310,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Biovolume,,Total Algae Biovolume,Not Calculated,,mm3/L,Not Calculated
5311,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Biovolume,,Total Blue_Green Algae Biovolume,,1.79,mm3/L,1.79 mm3/L
5312,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Biovolume,,Total Diatom Biovolume,,1.18,mm3/L,1.18 mm3/L
5313,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Biovolume,,Total Green Algae Biovolume,Not Calculated,,mm3/L,Not Calculated
5314,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Biovolume,,Total Toxic BGA Biovolume,,0.01,mm3/L,0.01 mm3/L
5315,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Count - Total,,Algae - Total,,248000000,cells/L,"248,000,000 cells/L"
5316,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Count - Total,,Blue Green Algae - Total,,205000000,cells/L,"205,000,000 cells/L"
5317,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Count - Total,,Diatoms - Total,,1580000,cells/L,"1,580,000 cells/L"
5318,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Count - Total,,Geosmin-MIB producing BGA - Total,,202000,cells/L,"202,000 cells/L"
5319,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Count - Total,,Green Algae - Total,,41700000,cells/L,"41,700,000 cells/L"
5320,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Count - Total,,Toxin producing BGA - Total,,250000,cells/L,"250,000 cells/L"
5321,Lake Alexandrina at 7km SE Milang,2025-06-26,Algal Identification,,Romeria,,73900000,cells/L,"73,900,000 cells/L"
5322,Lake Alexandrina at Beacon 95,2025-06-26,Algal Biovolume,,Algal Biovolume Notes,Biovolumes for taxa reported at genus level are approximate values. Reported taxa and calculated biovolume includes only those with taxon cell volume and associated cell count data. Biovolume totals have specific criteria around how they calculate.,,,Biovolumes for taxa reported at genus level are approximate values. Reported taxa and calculated biovolume includes only those with taxon cell volume and associated cell count data. Biovolume totals have specific criteria around how they calculate.
5323,Lake Alexandrina at Beacon 95,2025-06-26,Algal Biovolume,,Aphanizomenon,,0.68,mm3/L,0.68 mm3/L
5324,Lake Alexandrina at Beacon 95,2025-06-26,Algal Biovolume,,Planktolyngbya,,1.59,mm3/L,1.59 mm3/L
5325,Lake Alexandrina at Beacon 95,2025-06-26,Algal Biovolume,,Monoraphidium,,9.27,mm3/L,9.27 mm3/L
5326,Lake Alexandrina at Beacon 95,2025-06-26,Algal Biovolume,,Scenedesmus,,2.19,mm3/L,2.19 mm3/L
5327,Lake Alexandrina at Beacon 95,2025-06-26,Algal Biovolume,,Pediastrum,,1.59,mm3/L,1.59 mm3/L
5328,Lake Alexandrina at Beacon 95,2025-06-26,Algal Biovolume,,Cylindrospermopsis raciborskii,,0.09,mm3/L,0.09 mm3/L
5329,Lake Alexandrina at Beacon 95,2025-06-26,Algal Biovolume,,Cyclotella,,0.06,mm3/L,0.06 mm3/L
5330,Lake Alexandrina at Beacon 95,2025-06-26,Algal Biovolume,,Elakatothrix,<0.01,,mm3/L,<0.01 mm3/L
5331,Lake Alexandrina at Beacon 95,2025-06-26,Algal Biovolume,,Crucigenia,,0.3,mm3/L,0.3 mm3/L
5332,Lake Alexandrina at Beacon 95,2025-06-26,Algal Biovolume,,Dictyosphaerium,,0.03,mm3/L,0.03 mm3/L
5333,Lake Alexandrina at Beacon 95,2025-06-26,Algal Biovolume,,Oocystis,,3.84,mm3/L,3.84 mm3/L
5334,Lake Alexandrina at Beacon 95,2025-06-26,Algal Biovolume,,Merismopedia,,0.09,mm3/L,0.09 mm3/L
5335,Lake Alexandrina at Beacon 95,2025-06-26,Algal Biovolume,,Oocystis sp 2 (large cells),,0.94,mm3/L,0.94 mm3/L
5336,Lake Alexandrina at Beacon 95,2025-06-26,Algal Biovolume,,Closterium,,0.05,mm3/L,0.05 mm3/L
5337,Lake Alexandrina at Beacon 95,2025-06-26,Algal Biovolume,,Nitzschia,,0.15,mm3/L,0.15 mm3/L
5338,Lake Alexandrina at Beacon 95,2025-06-26,Algal Biovolume,,Cyanodictyon,,0.05,mm3/L,0.05 mm3/L
5339,Lake Alexandrina at Beacon 95,2025-06-26,Algal Biovolume,,Achnanthidium,,0.13,mm3/L,0.13 mm3/L
5340,Lake Alexandrina at Beacon 95,2025-06-26,Algal Biovolume,,Fragilaria,,0.04,mm3/L,0.04 mm3/L
5341,Lake Alexandrina at Beacon 95,2025-06-26,Algal Biovolume,,Dolichospermum (straight small),<0.01,,mm3/L,<0.01 mm3/L
5342,Lake Alexandrina at Beacon 95,2025-06-26,Algal Biovolume,,Staurastrum,,0.04,mm3/L,0.04 mm3/L
5343,Lake Alexandrina at Beacon 95,2025-06-26,Algal Biovolume,,Total Algae Biovolume,Not Calculated,,mm3/L,Not Calculated
5344,Lake Alexandrina at Beacon 95,2025-06-26,Algal Biovolume,,Total Blue_Green Algae Biovolume,,2.5,mm3/L,2.5 mm3/L
5345,Lake Alexandrina at Beacon 95,2025-06-26,Algal Biovolume,,Total Diatom Biovolume,,0.38,mm3/L,0.38 mm3/L
5346,Lake Alexandrina at Beacon 95,2025-06-26,Algal Biovolume,,Total Green Algae Biovolume,Not Calculated,,mm3/L,Not Calculated
5347,Lake Alexandrina at Beacon 95,2025-06-26,Algal Biovolume,,Total Toxic BGA Biovolume,,0.09,mm3/L,0.09 mm3/L
5348,Lake Alexandrina at Beacon 95,2025-06-26,Algal Count - Total,,Algae - Total,,675000000,cells/L,"675,000,000 cells/L"
5349,Lake Alexandrina at Beacon 95,2025-06-26,Algal Count - Total,,Blue Green Algae - Total,,610000000,cells/L,"610,000,000 cells/L"
5350,Lake Alexandrina at Beacon 95,2025-06-26,Algal Count - Total,,Diatoms - Total,,1480000,cells/L,"1,480,000 cells/L"
5351,Lake Alexandrina at Beacon 95,2025-06-26,Algal Count - Total,,Geosmin-MIB producing BGA - Total,,0,cells/L,0 cells/L
5352,Lake Alexandrina at Beacon 95,2025-06-26,Algal Count - Total,,Green Algae - Total,,63200000,cells/L,"63,200,000 cells/L"
5353,Lake Alexandrina at Beacon 95,2025-06-26,Algal Count - Total,,Toxin producing BGA - Total,,2260000,cells/L,"2,260,000 cells/L"
5354,Lake Alexandrina at Beacon 95,2025-06-26,Algal Identification,,Planctonema,,16500000,cells/L,"16,500,000 cells/L"
5355,Lake Alexandrina at Beacon 95,2025-06-26,Algal Identification,,Aphanizomenon,,13900000,cells/L,"13,900,000 cells/L"
5356,Lake Alexandrina at Beacon 95,2025-06-26,Algal Identification,,Planktolyngbya,,318000000,cells/L,"318,000,000 cells/L"
5357,Lake Alexandrina at Beacon 95,2025-06-26,Algal Identification,,Monoraphidium,,10300000,cells/L,"10,300,000 cells/L"
5358,Lake Alexandrina at Beacon 95,2025-06-26,Algal Identification,,Scenedesmus,,8750000,cells/L,"8,750,000 cells/L"
5359,Lake Alexandrina at Beacon 95,2025-06-26,Algal Identification,,Pediastrum,,1320000,cells/L,"1,320,000 cells/L"
5360,Lake Alexandrina at Beacon 95,2025-06-26,Algal Identification,,Oocystis,,12800000,cells/L,"12,800,000 cells/L"
5361,Lake Alexandrina at Beacon 95,2025-06-26,Algal Identification,,Dictyosphaerium,,1380000,cells/L,"1,380,000 cells/L"
5362,Lake Alexandrina at Beacon 95,2025-06-26,Algal Identification,,Crucigenia,,10100000,cells/L,"10,100,000 cells/L"
5363,Lake Alexandrina at Beacon 95,2025-06-26,Algal Identification,,Elakatothrix,,80000,cells/L,"80,000 cells/L"
5364,Lake Alexandrina at Beacon 95,2025-06-26,Algal Identification,,Tetrastrum,,1760000,cells/L,"1,760,000 cells/L"
5365,Lake Alexandrina at Beacon 95,2025-06-26,Algal Identification,,Cyclotella,,110000,cells/L,"110,000 cells/L"
5366,Lake Alexandrina at Beacon 95,2025-06-26,Algal Identification,,Cylindrospermopsis raciborskii,,2260000,cells/L,"2,260,000 cells/L"
5367,Lake Alexandrina at Beacon 95,2025-06-26,Algal Identification,,Nitzschia,,110000,cells/L,"110,000 cells/L"
5368,Lake Alexandrina at Beacon 95,2025-06-26,Algal Identification,,Achnanthidium,,1200000,cells/L,"1,200,000 cells/L"
5369,Lake Alexandrina at Beacon 95,2025-06-26,Algal Identification,,Cyanodictyon,,104000000,cells/L,"104,000,000 cells/L"
5370,Lake Alexandrina at Beacon 95,2025-06-26,Algal Identification,,Staurastrum,,20000,cells/L,"20,000 cells/L"
5371,Lake Alexandrina at Beacon 95,2025-06-26,Algal Identification,,Merismopedia,,172000000,cells/L,"172,000,000 cells/L"
5372,Lake Alexandrina at Beacon 95,2025-06-26,Algal Identification,,Oocystis sp 2 (large cells),,130000,cells/L,"130,000 cells/L"
5373,Lake Alexandrina at Beacon 95,2025-06-26,Algal Identification,,Closterium,,10000,cells/L,"10,000 cells/L"
5374,Lake Alexandrina at Beacon 95,2025-06-26,Algal Identification,,Dolichospermum (straight small),,70000,cells/L,"70,000 cells/L"
5375,Lake Alexandrina at Beacon 95,2025-06-26,Algal Identification,,Closterium small_spp,,50000,cells/L,"50,000 cells/L"
5376,Lake Alexandrina at Beacon 95,2025-06-26,Algal Identification,,Fragilaria,,60000,cells/L,"60,000 cells/L"
5377,Lake Alexandrina at Beacon 95,2025-06-26,Algal Identification,,Other Organisms,,1000000,cells/L,"1,000,000 cells/L"
5378,Murray Mouth,2025-06-26,Algal Biovolume,,Algal Biovolume Notes,Biovolumes for taxa reported at genus level are approximate values. Reported taxa and calculated biovolume includes only those with taxon cell volume and associated cell count data. Biovolume totals have specific criteria around how they calculate.,,,Biovolumes for taxa reported at genus level are approximate values. Reported taxa and calculated biovolume includes only those with taxon cell volume and associated cell count data. Biovolume totals have specific criteria around how they calculate.
5379,Murray Mouth,2025-06-26,Algal Biovolume,,Gyrodinium,<0.01,,mm3/L,<0.01 mm3/L
5380,Murray Mouth,2025-06-26,Algal Biovolume,,Navicula,<0.01,,mm3/L,<0.01 mm3/L
5381,Murray Mouth,2025-06-26,Algal Biovolume,,Cyclotella,<0.01,,mm3/L,<0.01 mm3/L
5382,Murray Mouth,2025-06-26,Algal Biovolume,,Cryptomonads,,0.01,mm3/L,0.01 mm3/L
5383,Murray Mouth,2025-06-26,Algal Biovolume,,Oocystis,<0.01,,mm3/L,<0.01 mm3/L
5384,Murray Mouth,2025-06-26,Algal Biovolume,,Nitzschia,,0.01,mm3/L,0.01 mm3/L
5385,Murray Mouth,2025-06-26,Algal Biovolume,,Achnanthidium,,0.01,mm3/L,0.01 mm3/L
5386,Murray Mouth,2025-06-26,Algal Biovolume,,Total Algae Biovolume,Not Calculated,,mm3/L,Not Calculated
5387,Murray Mouth,2025-06-26,Algal Biovolume,,Total Blue_Green Algae Biovolume,,0,mm3/L,0 mm3/L
5388,Murray Mouth,2025-06-26,Algal Biovolume,,Total Diatom Biovolume,Not Calculated,,mm3/L,Not Calculated
5389,Murray Mouth,2025-06-26,Algal Biovolume,,Total Green Algae Biovolume,Not Calculated,,mm3/L,Not Calculated
5390,Murray Mouth,2025-06-26,Algal Biovolume,,Total Toxic BGA Biovolume,,0,mm3/L,0 mm3/L
5391,Murray Mouth,2025-06-26,Algal Count - Total,,Algae - Total,,478000,cells/L,"478,000 cells/L"
5392,Murray Mouth,2025-06-26,Algal Count - Total,,Blue Green Algae - Total,,0,cells/L,0 cells/L
5393,Murray Mouth,2025-06-26,Algal Count - Total,,Diatoms - Total,,176000,cells/L,"176,000 cells/L"
5394,Murray Mouth,2025-06-26,Algal Count - Total,,Geosmin-MIB producing BGA - Total,,0,cells/L,0 cells/L
5395,Murray Mouth,2025-06-26,Algal Count - Total,,Green Algae - Total,,184000,cells/L,"184,000 cells/L"
5396,Murray Mouth,2025-06-26,Algal Count - Total,,Toxin producing BGA - Total,,0,cells/L,0 cells/L
5397,Murray Mouth,2025-06-26,Algal Identification,,Planctonema,,24000,cells/L,"24,000 cells/L"
5398,Murray Mouth,2025-06-26,Algal Identification,,Asterionellopsis,,68000,cells/L,"68,000 cells/L"
5399,Murray Mouth,2025-06-26,Algal Identification,,Organism - Notes,Diplopsalis - The identification for this organism is tentative only.,,,Diplopsalis - The identification for this organism is tentative only.
5400,Murray Mouth,2025-06-26,Algal Identification,,Diplopsalis,,1000,cells/L,"1,000 cells/L"
5401,Murray Mouth,2025-06-26,Algal Identification,,Gyrodinium,,1000,cells/L,"1,000 cells/L"
5402,Murray Mouth,2025-06-26,Algal Identification,,Cyclotella,,2000,cells/L,"2,000 cells/L"
5403,Murray Mouth,2025-06-26,Algal Identification,,Navicula,,2000,cells/L,"2,000 cells/L"
5404,Murray Mouth,2025-06-26,Algal Identification,,Organism - Notes,Pseudo-nitzschia - The identification for this organism is tentative only.,,,Pseudo-nitzschia - The identification for this organism is tentative only.
5405,Murray Mouth,2025-06-26,Algal Identification,,Pseudo-nitzschia,,2000,cells/L,"2,000 cells/L"
